Area size (m^2),Price of plot
125,62500
256,128000
187,93500
412,206000
310,155000
578,289000
215,107500
478,239000
333,166500
241,120500
175,87500
422,211000
289,144500
513,256500
371,185500
446,223000
640,320000
293,146500
572,286000
394,197000
259,129500
487,243500
726,363000
378,189000
517,258500
628,314000
473,236500
612,306000
199,99500
563,281500
425,212500
297,148500
514,257000
693,346500
368,184000
247,123500
587,293500
321,160500
457,228500
725,362500
522,261000
393,196500
671,335500
254,127000
338,169000
602,301000
307,153500
422,211000
536,268000
461,230500
268,134000
596,298000
371,185500
219,109500
187,93500
594,297000
399,199500
158,79000
459,229500
666,333000
528,264000
306,153000
589,294500
462,231000
183,91500
311,155500
424,212000
648,324000
259,129500
397,198500
587,293500
492,246000
723,361500
315,157500
574,287000
237,118500
386,193000
514,257000
447,223500
542,271000
645,322500
356,178000
203,101500
631,315500
273,136500
165,82500
458,229000
319,159500
538,269000
674,337000
491,245500
226,113000
391,195500
578,289000
265,132500
415,207500
157,78500
607,303500
542,271000
389,194500
