Date,Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Wind Direction,Precipitation (mm),Pressure (hPa),UV Index,Weather Conditions
2023-03-29,12:00PM,16.8,60,15,WNW,0,1013,3,Partly cloudy
2023-03-29,01:00PM,18.5,55,12,ENE,0,1012,4,Mostly sunny
2023-03-29,02:00PM,20.2,50,10,NE,0,1011,5,Clear skies
2023-03-29,03:00PM,21.4,45,8,SE,0,1010,6,Sunny
2023-03-29,04:00PM,20.9,50,12,SSW,0,1009,5,Partly cloudy
2023-03-29,05:00PM,19.8,55,15,SW,0,1008,4,Mostly cloudy
2023-03-29,06:00PM,18.2,60,18,W,0,1007,3,Overcast
2023-03-29,07:00PM,16.5,65,20,NW,0.5,1006,2,Light rain
2023-03-29,08:00PM,15.1,70,22,NNE,2,1005,1,Heavy rain
2023-03-29,09:00PM,14.3,75,25,NNW,4,1004,0,Thunderstorm
2023-03-30,10:00AM,12.5,80,20,SSE,0.2,1003,1,Light rain
2023-03-30,11:00AM,14.3,75,18,S,0,1004,2,Mostly cloudy
2023-03-30,12:00PM,16.2,70,15,SSW,0,1005,3,Partly cloudy
2023-03-30,01:00PM,18.1,65,12,WN,,,,
