Income,Education Level,Years of Experience,Employment Status
54230,Bachelor's,7,Employed
28790,High School,2,Employed
86500,Master's,12,Employed
39650,Associate's,5,Employed
21800,High School,0,Unemployed
69320,Bachelor's,9,Employed
12960,Some College,1,Unemployed
77640,Master's,14,Employed
46300,Bachelor's,4,Employed
60280,Associate's,8,Employed
36590,Some College,3,Employed
18520,High School,0,Unemployed
93540,Doctorate,18,Employed
53870,Bachelor's,6,Employed
27640,High School,1,Employed
78120,Master's,11,Employed
42100,Bachelor's,3,Employed
64350,Associate's,9,Employed
39680,Some College,4,Employed
19380,High School,0,Unemployed
54230,Bachelor's,7,Employed
28790,High School,2,Employed
86500,Master's,12,Employed
39650,Associate's,5,Employed
21800,High School,0,Unemployed
69320,Bachelor's,9,Employed
12960,Some College,1,Unemployed
77640,Master's,14,Employed
46300,Bachelor's,4,Employed
60280,Associate's,8,Employed
36590,Some College,3,Employed
18520,High School,0,Unemployed
93540,Doctorate,18,Employed
53870,Bachelor's,6,Employed
27640,High School,1,Employed
78120,Master's,11,Employed
42100,Bachelor's,3,Employed
64350,Associate's,9,Employed
39680,Some College,4,Employed
19380,High School,0,Unemployed
74060,Bachelor's,10,Employed
52490,Master's,8,Employed
29400,High School,3,Employed
93500,Doctorate,15,Employed
44520,Bachelor's,5,Employed
28650,Some College,2,Employed
17280,High School,0,Unemployed
62040,Bachelor's,7,Employed
78900,Master's,13,Employed
38830,Associate's,4,Employed
20650,High School,1,Unemployed
54230,Bachelor's,7,Employed
28790,High School,2,Employed
86500,Master's,12,Employed
39650,Associate's,5,Employed
21800,High School,0,Unemployed
