Student ID,Physics Score,Maths Score,English Score
1001,78,82,85
1002,90,88,92
1003,65,72,69
1004,87,90,89
1005,72,77,75
1006,80,82,81
1007,69,75,72
1008,83,86,88
1009,75,78,77
1010,91,93,94
1011,68,71,70
1012,86,88,89
1013,79,84,81
1014,73,76,74
1015,84,87,88
1016,91,94,93
1017,71,73,76
1018,82,85,83
1019,89,91,90
1020,76,80,78
1021,77,81,79
1022,67,70,68
1023,88,89,90
1024,81,84,83
1025,70,74,72
1026,85,88,86
1027,92,95,94
1028,74,78,76
1029,78,83,80
1030,90,92,91
1031,76,82,79
1032,88,85,87
1033,71,74,72
1034,92,94,93
1035,82,87,84
1036,79,83,81
1037,68,70,69
1038,87,89,88
1039,74,78,75
1040,85,88,87
1041,90,92,91
1042,83,85,84
1043,75,79,77
1044,81,84,82
1045,73,76,74
1046,89,91,90
1047,70,73,72
1048,91,94,92
1049,77,82,79
1050,67,70,68
1051,82,86,83
1052,79,83,81
1053,88,89,90
1054,71,74,72
1055,92,94,93
1056,84,87,85
1057,76,82,79
1058,85,88,87
1059,68,70,69
1060,87,89,88
1061,74,78,75
1062,83,85,84
1063,75,79,77
1064,90,92,91
1065,77,82,79
1066,67,70,68
1067,82,86,83
1068,79,83,81
1069,88,89,90
1070,71,74,72
1071,92,94,93
1072,84,87,85
1073,76,82,79
1074,85,88,87
1075,68,70,69
1076,87,89,88
1077,74,78,75
1078,83,85,84
1079,75,79,77
1080,90,92,91
1081,77,82,79
1082,67,70,68
1083,82,86,83
1084,79,83,81
1085,88,89,90
1086,71,74,72
1087,92,94,93
1088,84,87,85
1089,76,82,79
1090,85,88,87
1091,68,70,69
1092,87,89,88
1093,74,78,75
1094,83,85,84
1095,75,79,77
1096,90,92,91
1097,77,82,79
1098,67,70,68
1099,82,86,83
1100,79,83,81
1101,88,89,90
1102,71,74,72
1103,92,94,93
1104,84,87,85
1105,76,82,79
1106,85,88,87
1107,68,70,69
1108,87,89,88
1109,74,78,75
1110,83,85,84
1111,75,79,77
1112,90,92,91
1113,77,82,79
1114,67,70,68
1115,82,86,83
1116,79,83,81
1117,88,89,90
1118,71,74,72
1119,92,94,93
1120,84,87,85
1121,76,82,79
1122,85,88,87
1123,68,70,69
1124,87,89,88
1125,74,78,75
1126,83,85,84
1127,75,79,77
1128,90,92,91
1129,77,82,79
1130,67,70,68
1131,82,86,83
1132,79,83,81
1133,88,89,90
1134,71,74,72
1135,92,94,93
1136,84,87,85
1137,76,82,79
1138,85,88,87
1139,82,87,85
1140,89,92,91
1141,77,80,78
1142,86,88,87
1143,76,81,79
1144,91,94,93
1145,80,83,81
1146,95,98,97
1147,83,86,84
1148,72,76,73
1149,88,91,89
1150,78,81,79
