Visitors,Pageviews,Bounce Rate,Conversion Rate
1345,7612,67%,2.5%
2157,10962,52%,4.1%
987,5489,73%,1.8%
3892,20823,58%,3.9%
602,3611,79%,1.3%
2876,15232,41%,5.2%
4205,20903,46%,4.9%
1609,9715,62%,2.8%
2564,13241,54%,3.6%
752,4135,68%,2.1%
1815,10005,61%,2.9%
3156,17009,50%,4.3%
449,2809,77%,1.4%
2271,11598,49%,3.8%
3958,19382,42%,5.3%
1236,7598,65%,2.6%
287,1746,81%,1.1%
541,3487,75%,1.5%
3018,15152,56%,3.4%
2095,11396,63%,2.7%
1732,9982,57%,3.5%
3046,16875,47%,4.6%
4245,22018,40%,5.5%
1567,8462,60%,2.9%
870,5173,70%,1.9%
2325,11989,53%,3.9%
374,2481,76%,1.3%
2678,13905,51%,4.0%
4156,20382,44%,4.8%
1204,6839,63%,2.5%
