Coordinate,Avg Upload Speed (Mbps),Avg Download Speed (Mbps),Data Type
45.1234,10.2,25.4,E
46.5678,5.8,15.7,2G
47.9012,8.6,20.3,3G
48.3456,23.5,58.2,4G
49.7890,64.7,142.9,5G
50.2345,7.9,18.2,E
51.6789,4.3,12.6,2G
52.0123,9.7,23.8,3G
53.4567,19.8,49.6,4G
54.8901,54.3,120.1,5G
55.3456,6.1,14.3,E
56.7890,3.7,10.5,2G
57.1234,7.1,17.6,3G
58.5678,17.9,44.8,4G
59.9012,49.8,112.6,5G
60.2345,8.4,19.8,E
61.6789,4.9,13.4,2G
62.0123,10.5,24.5,3G
63.4567,21.6,53.9,4G
64.8901,59.2,130.7,5G
65.3456,9.3,21.6,E
66.7890,4.1,11.8,2G
67.1234,8.9,22.3,3G
68.5678,18.2,47.3,4G
69.9012,50.7,118.3,5G
